name1,relationship,name2
andriane,has_nickname,adri
andriane,has_nickname,rienne
angela,has_nickname,angel
angela,has_nickname,angie
angelica,has_nickname,angel
angelica,has_nickname,angelika
angelica,has_nickname,angelique
angelica,has_nickname,angie
angelina,has_nickname,angel
angelina,has_nickname,angie
angelina,has_nickname,lina
ann,has_nickname,annie
ann,has_nickname,nan
anna,has_nickname,ann
anna,has_nickname,anne
anna,has_nickname,annie
anna,has_nickname,nan
anne,has_nickname,ann
anne,has_nickname,annie
anne,has_nickname,nan
annette,has_nickname,anna
annette,has_nickname,nettie
annie,has_nickname,ann
annie,has_nickname,anna
anselm,has_nickname,ance
anselm,has_nickname,anse
anselm,has_nickname,ansel
anselm,has_nickname,selma
anthony,has_nickname,ant
anthony,has_nickname,tony
antoinette,has_nickname,ann
antoinette,has_nickname,netta
antoinette,has_nickname,tony
antonia,has_nickname,ann
antonia,has_nickname,netta
antonia,has_nickname,tony
antonio,has_nickname,ant
antonio,has_nickname,tony
appoline,has_nickname,appie
appoline,has_nickname,appy
aquilla,has_nickname,quil
aquilla,has_nickname,quillie
ara,has_nickname,arry
ara,has_nickname,belle
arabella,has_nickname,ara
arabella,has_nickname,arry
arabella,has_nickname,bella
arabella,has_nickname,belle
arabelle,has_nickname,ara
arabelle,has_nickname,arry
arabelle,has_nickname,bella
arabelle,has_nickname,belle
araminta,has_nickname,armida
araminta,has_nickname,middie
araminta,has_nickname,minty
araminta,has_nickname,ruminta
archibald,has_nickname,archie
archilles,has_nickname,kill
archilles,has_nickname,killis
ariadne,has_nickname,ari
ariadne,has_nickname,arie
arielle,has_nickname,arie
aristotle,has_nickname,telly
arizona,has_nickname,ona
arizona,has_nickname,onie
arlene,has_nickname,arly
arlene,has_nickname,lena
armanda,has_nickname,mandy
armena,has_nickname,arry
armena,has_nickname,mena
armilda,has_nickname,milly
arminda,has_nickname,mindie
arminta,has_nickname,minite
arminta,has_nickname,minnie
arnold,has_nickname,arnie
aron,has_nickname,erin
aron,has_nickname,ron
aron,has_nickname,ronnie
artelepsa,has_nickname,epsey
artemus,has_nickname,art
arthur,has_nickname,art
arthusa,has_nickname,thursa
arzada,has_nickname,zaddi
asahel,has_nickname,asa
asaph,has_nickname,asa
asenath,has_nickname,assene
asenath,has_nickname,natty
asenath,has_nickname,sene
ashley,has_nickname,ash
ashley,has_nickname,ashly
ashley,has_nickname,leah
ashley,has_nickname,lee
aubrey,has_nickname,bree
audrey,has_nickname,audree
audrey,has_nickname,dee
august,has_nickname,gus
augusta,has_nickname,aggy
augusta,has_nickname,gatsy
augusta,has_nickname,gussie
augusta,has_nickname,tina
augustina,has_nickname,aggy
augustina,has_nickname,gatsy
augustina,has_nickname,gussie
augustina,has_nickname,tina
augustine,has_nickname,august
augustine,has_nickname,austin
augustine,has_nickname,gus
augustus,has_nickname,august
augustus,has_nickname,austin
augustus,has_nickname,gus
aurelia,has_nickname,aurilla
aurelia,has_nickname,ora
aurelia,has_nickname,orilla
aurelia,has_nickname,ree
aurelia,has_nickname,rilly
avarilla,has_nickname,rilla
azariah,has_nickname,aze
azariah,has_nickname,riah
bab,has_nickname,barby
babs,has_nickname,bab
babs,has_nickname,barbara
babs,has_nickname,barby
barbara,has_nickname,bab
barbara,has_nickname,babs
barbara,has_nickname,barbie
barbara,has_nickname,barby
barbara,has_nickname,bobbie
barbery,has_nickname,barbara
barbie,has_nickname,barbara
barnabas,has_nickname,barney
barney,has_nickname,barnabas
bart,has_nickname,bartholomew
bartholomew,has_nickname,bart
bartholomew,has_nickname,bartel
bartholomew,has_nickname,bat
bartholomew,has_nickname,mees
bartholomew,has_nickname,meus
barticus,has_nickname,bart
bazaleel,has_nickname,basil
bea,has_nickname,beatrice
beatrice,has_nickname,bea
beatrice,has_nickname,trisha
beatrice,has_nickname,trix
beatrice,has_nickname,trixie
becca,has_nickname,beck
beck,has_nickname,becky
bedelia,has_nickname,bridgit
bedelia,has_nickname,delia
belinda,has_nickname,belle
belinda,has_nickname,linda
bella,has_nickname,arabella
bella,has_nickname,belle
bella,has_nickname,isabella
benedict,has_nickname,ben
benedict,has_nickname,bennie
benjamin,has_nickname,ben
benjamin,has_nickname,benjy
benjamin,has_nickname,bennie
benjamin,has_nickname,benny
benjamin,has_nickname,jamie
benjy,has_nickname,benjamin
bernard,has_nickname,barney
bernard,has_nickname,berney
bernard,has_nickname,bernie
bernard,has_nickname,berny
berney,has_nickname,bernie
bert,has_nickname,bertie
bert,has_nickname,bob
bert,has_nickname,bobby
bertha,has_nickname,bert
bertha,has_nickname,bertie
bertha,has_nickname,birdie
bertram,has_nickname,bert
bertrand,has_nickname,randy
bess,has_nickname,bessie
beth,has_nickname,betsy
beth,has_nickname,betty
beth,has_nickname,elizabeth
bethena,has_nickname,beth
bethena,has_nickname,thaney
beverly,has_nickname,bev
bezaleel,has_nickname,zeely
biddie,has_nickname,biddy
bill,has_nickname,billy
bill,has_nickname,fred
bill,has_nickname,robert
bill,has_nickname,william
bill,has_nickname,willie
billy,has_nickname,fred
billy,has_nickname,robert
billy,has_nickname,william
blanche,has_nickname,bea
bob,has_nickname,rob
bob,has_nickname,robert
bobby,has_nickname,bob
bobby,has_nickname,rob
boetius,has_nickname,bo
brad,has_nickname,bradford
brad,has_nickname,ford
bradford,has_nickname,brad
bradford,has_nickname,ford
bradley,has_nickname,brad
brady,has_nickname,brody
breanna,has_nickname,bree
breanna,has_nickname,bri
breeanna,has_nickname,bree
brenda,has_nickname,brandy
brian,has_nickname,bryan
brian,has_nickname,bryant
brianna,has_nickname,bri
bridget,has_nickname,biddie
bridget,has_nickname,biddy
bridget,has_nickname,bridgie
bridget,has_nickname,bridie
brittany,has_nickname,britt
brittany,has_nickname,brittnie
brittney,has_nickname,britt
brittney,has_nickname,brittnie
broderick,has_nickname,brady
broderick,has_nickname,brody
broderick,has_nickname,rick
broderick,has_nickname,ricky
broderick,has_nickname,rod
bryanna,has_nickname,ana
bryanna,has_nickname,anna
bryanna,has_nickname,bri
bryanna,has_nickname,briana
bryanna,has_nickname,brianna
caitlin,has_nickname,cait
caitlin,has_nickname,caity
caitlyn,has_nickname,cait
caitlyn,has_nickname,caity
caldonia,has_nickname,calliedona
caleb,has_nickname,cal
california,has_nickname,callie
calista,has_nickname,kissy
calpurnia,has_nickname,cally
calvin,has_nickname,cal
calvin,has_nickname,vin
calvin,has_nickname,vinny
cameron,has_nickname,cam
cameron,has_nickname,ron
cameron,has_nickname,ronny
camile,has_nickname,cammie
camille,has_nickname,cammie
camille,has_nickname,millie
campbell,has_nickname,cam
candace,has_nickname,candy
candace,has_nickname,dacey
carla,has_nickname,carly
carla,has_nickname,karla
carlotta,has_nickname,lottie
carlton,has_nickname,carl
carmellia,has_nickname,mellia
carmelo,has_nickname,melo
carmon,has_nickname,cammie
carmon,has_nickname,carm
carmon,has_nickname,charm
carol,has_nickname,carolann
carol,has_nickname,carole
carol,has_nickname,caroline
carol,has_nickname,carri
carol,has_nickname,carrie
carol,has_nickname,cassie
carol,has_nickname,kara
carol,has_nickname,kari
carol,has_nickname,lynn
carolann,has_nickname,carol
carolann,has_nickname,carole
caroline,has_nickname,carol
caroline,has_nickname,carole
caroline,has_nickname,carrie
caroline,has_nickname,cassie
caroline,has_nickname,lynn
carolyn,has_nickname,carrie
carolyn,has_nickname,cassie
carolyn,has_nickname,lynn
carrie,has_nickname,cassie
carthaette,has_nickname,etta
carthaette,has_nickname,etty
casey,has_nickname,k.c.
casper,has_nickname,jasper
cassandra,has_nickname,cassie
cassandra,has_nickname,sandra
cassandra,has_nickname,sandy
cassidy,has_nickname,cass
cassidy,has_nickname,cassie
caswell,has_nickname,cass
catherine,has_nickname,casey
catherine,has_nickname,cassie
catherine,has_nickname,cathy
catherine,has_nickname,kathy
catherine,has_nickname,katy
catherine,has_nickname,kay
catherine,has_nickname,kit
catherine,has_nickname,kittie
catherine,has_nickname,lena
catherine,has_nickname,trina
cathleen,has_nickname,casey
cathleen,has_nickname,cassie
cathleen,has_nickname,cathy
cathleen,has_nickname,kathy
cathleen,has_nickname,katy
cathleen,has_nickname,kay
cathleen,has_nickname,kit
cathleen,has_nickname,kittie
cathleen,has_nickname,lena
cathleen,has_nickname,trina
cathy,has_nickname,catherine
cathy,has_nickname,cathleen
cathy,has_nickname,kathy
cecilia,has_nickname,celia
cecilia,has_nickname,cissy
cedric,has_nickname,ced
cedric,has_nickname,rick
cedric,has_nickname,ricky
celeste,has_nickname,celia
celeste,has_nickname,lessie
celinda,has_nickname,linda
celinda,has_nickname,lindy
celinda,has_nickname,lynn
charity,has_nickname,chat
charles,has_nickname,carl
charles,has_nickname,charlie
charles,has_nickname,chick
charles,has_nickname,chuck
charlie,has_nickname,charles
charlie,has_nickname,chuck
charlotte,has_nickname,char
charlotte,has_nickname,lotta
charlotte,has_nickname,lottie
charlotte,has_nickname,sherry
chauncey,has_nickname,chan
chelsey,has_nickname,chelsie
cheryl,has_nickname,cher
chesley,has_nickname,chet
chester,has_nickname,chet
chet,has_nickname,chester
chick,has_nickname,caroline
chick,has_nickname,charlotte
chick,has_nickname,chuck
chloe,has_nickname,clo
chris,has_nickname,kris
christa,has_nickname,chris
christian,has_nickname,chris
christian,has_nickname,kit
christiana,has_nickname,ann
christiana,has_nickname,chris
christiana,has_nickname,christy
christiana,has_nickname,crissy
christiana,has_nickname,kris
christiana,has_nickname,kristy
christiana,has_nickname,tina
christiano,has_nickname,chris
christina,has_nickname,chris
christina,has_nickname,chrissy
christina,has_nickname,christy
christina,has_nickname,crissy
christina,has_nickname,kris
christina,has_nickname,kristy
christina,has_nickname,tina
christine,has_nickname,chris
christine,has_nickname,chrissy
christine,has_nickname,christy
christine,has_nickname,crissy
christine,has_nickname,kris
christine,has_nickname,kristy
christine,has_nickname,tina
christoffer,has_nickname,chris
christoph,has_nickname,chris
christopher,has_nickname,chris
christopher,has_nickname,kit
christy,has_nickname,crissy
cicely,has_nickname,cilla
cinderella,has_nickname,arilla
cinderella,has_nickname,cindy
cinderella,has_nickname,rella
cinderella,has_nickname,rilla
cindy,has_nickname,cinderella
claire,has_nickname,clair
claire,has_nickname,clara
claire,has_nickname,clare
clara,has_nickname,clarissa
clare,has_nickname,clara
clarence,has_nickname,clair
clarence,has_nickname,clare
clarinda,has_nickname,clara
clarissa,has_nickname,cissy
clarissa,has_nickname,clara
claudia,has_nickname,claud
cleatus,has_nickname,cleat
clement,has_nickname,clem
clementine,has_nickname,clem
clementine,has_nickname,clement
cliff,has_nickname,clifford
clifford,has_nickname,cliff
clifford,has_nickname,ford
clifton,has_nickname,cliff
clifton,has_nickname,tony
cole,has_nickname,colie
columbus,has_nickname,clum
con,has_nickname,conny
conrad,has_nickname,con
conrad,has_nickname,conny
constance,has_nickname,connie
cordelia,has_nickname,cordy
cordelia,has_nickname,delia
corey,has_nickname,coco
corey,has_nickname,cordy
corey,has_nickname,ree
corinne,has_nickname,cora
corinne,has_nickname,ora
cornelia,has_nickname,cornie
cornelia,has_nickname,corny
cornelia,has_nickname,nelia
cornelia,has_nickname,nelle
cornelia,has_nickname,nelly
cornelius,has_nickname,con
cornelius,has_nickname,conny
cornelius,has_nickname,corny
cornelius,has_nickname,neil
cornelius,has_nickname,niel
cory,has_nickname,coco
cory,has_nickname,cordy
cory,has_nickname,ree
courtney,has_nickname,court
courtney,has_nickname,curt
crystal,has_nickname,chris
crystal,has_nickname,crys
crystal,has_nickname,stal
crystal,has_nickname,tal
curtis,has_nickname,curt
cynthia,has_nickname,cindy
cynthia,has_nickname,cintha
cyrenius,has_nickname,cene
cyrenius,has_nickname,cy
cyrenius,has_nickname,renius
cyrenius,has_nickname,serene
cyrenius,has_nickname,swene
cyrus,has_nickname,cy
dahl,has_nickname,dal
dalton,has_nickname,dahl
dalton,has_nickname,dal
daniel,has_nickname,dan
daniel,has_nickname,dann
daniel,has_nickname,danny
danielle,has_nickname,dani
danielle,has_nickname,ellie
danny,has_nickname,daniel
daphne,has_nickname,daph
daphne,has_nickname,daphie
darlene,has_nickname,darry
darlene,has_nickname,lena
david,has_nickname,dave
david,has_nickname,davey
david,has_nickname,day
daycia,has_nickname,dacia
daycia,has_nickname,daisha
deanne,has_nickname,ann
deanne,has_nickname,dee
debbie,has_nickname,deb
debbie,has_nickname,debby
debbie,has_nickname,deborah
debbie,has_nickname,debra
debby,has_nickname,deb
debora,has_nickname,deb
debora,has_nickname,debbie
debora,has_nickname,debby
deborah,has_nickname,deb
deborah,has_nickname,debbie
deborah,has_nickname,debby
debra,has_nickname,deb
debra,has_nickname,debbie
deidre,has_nickname,deedee
delbert,has_nickname,bert
delbert,has_nickname,del
delia,has_nickname,cordelia
delia,has_nickname,delius
delia,has_nickname,fidelia
delilah,has_nickname,dell
delilah,has_nickname,della
delilah,has_nickname,lil
delilah,has_nickname,lila
deliverance,has_nickname,della
deliverance,has_nickname,delly
deliverance,has_nickname,dilly
della,has_nickname,adela
della,has_nickname,adelaide
della,has_nickname,delilah
della,has_nickname,dell
delores,has_nickname,dee
delores,has_nickname,dell
delores,has_nickname,della
delores,has_nickname,lola
delores,has_nickname,lolly
delpha,has_nickname,philadelphia
delphine,has_nickname,del
delphine,has_nickname,delf
delphine,has_nickname,delphi
demaris,has_nickname,dea
demaris,has_nickname,maris
demaris,has_nickname,mary
demerias,has_nickname,dea
demerias,has_nickname,maris
demerias,has_nickname,mary
democrates,has_nickname,mock
dennis,has_nickname,dennie
dennis,has_nickname,denny
dennison,has_nickname,dennis
dennison,has_nickname,denny
derek,has_nickname,derrek
derek,has_nickname,rick
derek,has_nickname,ricky
derick,has_nickname,rick
derick,has_nickname,ricky
derrick,has_nickname,eric
derrick,has_nickname,rick
derrick,has_nickname,ricky
deuteronomy,has_nickname,duty
diana,has_nickname,di
diana,has_nickname,dicey
diana,has_nickname,didi
diane,has_nickname,di
diane,has_nickname,dian
diane,has_nickname,dianne
diane,has_nickname,dicey
diane,has_nickname,didi
dicey,has_nickname,dicie
dick,has_nickname,richard
dick,has_nickname,rick
dickson,has_nickname,dick
domenic,has_nickname,dom
domenic,has_nickname,nic
dominic,has_nickname,dom
dominic,has_nickname,nic
dominick,has_nickname,dom
dominick,has_nickname,nick
dominick,has_nickname,nicky
dominico,has_nickname,dom
donald,has_nickname,don
donald,has_nickname,donnie
donald,has_nickname,donny
donald,has_nickname,dony
donato,has_nickname,don
donna,has_nickname,dona
donovan,has_nickname,don
donovan,has_nickname,donnie
donovan,has_nickname,donny
donovan,has_nickname,dony
dorcus,has_nickname,darkey
dorinda,has_nickname,dora
dorinda,has_nickname,dorothea
doris,has_nickname,dora
dorothea,has_nickname,doda
dorothea,has_nickname,dora
dorothy,has_nickname,dolly
dorothy,has_nickname,dora
dorothy,has_nickname,dortha
dorothy,has_nickname,dot
dorothy,has_nickname,dottie
dorothy,has_nickname,dotty
dotha,has_nickname,dotty
dotty,has_nickname,dot
douglas,has_nickname,doug
drusilla,has_nickname,silla
duncan,has_nickname,dunk
earnest,has_nickname,ernestine
earnest,has_nickname,ernie
ebbie,has_nickname,eb
ebenezer,has_nickname,eb
ebenezer,has_nickname,ebbie
ebenezer,has_nickname,eben
eddie,has_nickname,ed
eddy,has_nickname,ed
edgar,has_nickname,ed
edgar,has_nickname,eddie
edgar,has_nickname,eddy
edith,has_nickname,edie
edith,has_nickname,edye
edmond,has_nickname,ed
edmond,has_nickname,eddie
edmond,has_nickname,eddy
edmund,has_nickname,ed
edmund,has_nickname,eddie
edmund,has_nickname,eddy
edmund,has_nickname,ned
edmund,has_nickname,ted
edna,has_nickname,edny
eduardo,has_nickname,ed
eduardo,has_nickname,eddie
eduardo,has_nickname,eddy
edward,has_nickname,ed
edward,has_nickname,eddie
edward,has_nickname,eddy
edward,has_nickname,ned
edward,has_nickname,ted
edward,has_nickname,teddy
edwin,has_nickname,ed
edwin,has_nickname,eddie
edwin,has_nickname,eddy
edwin,has_nickname,ned
edwin,has_nickname,win
edwina,has_nickname,edwin
edyth,has_nickname,edie
edyth,has_nickname,edye
edythe,has_nickname,edie
edythe,has_nickname,edye
egbert,has_nickname,bert
egbert,has_nickname,burt
eighta,has_nickname,athy
eileen,has_nickname,helen
elaine,has_nickname,helen
elaine,has_nickname,lainie
elbert,has_nickname,albert
elbert,has_nickname,bert
elbertson,has_nickname,bert
elbertson,has_nickname,elbert
eldora,has_nickname,dora
eleanor,has_nickname,elaine
eleanor,has_nickname,ellen
eleanor,has_nickname,ellie
eleanor,has_nickname,lanna
eleanor,has_nickname,lenora
eleanor,has_nickname,nelly
eleanor,has_nickname,nora
eleazer,has_nickname,lazar
elena,has_nickname,helen
elias,has_nickname,eli
elias,has_nickname,lee
elias,has_nickname,lias
elijah,has_nickname,eli
elijah,has_nickname,lige
eliphalel,has_nickname,life
eliphalet,has_nickname,left
elisa,has_nickname,lisa
elisha,has_nickname,eli
elisha,has_nickname,lish
eliza,has_nickname,elizabeth
elizabeth,has_nickname,bess
elizabeth,has_nickname,bessie
elizabeth,has_nickname,beth
elizabeth,has_nickname,betsy
elizabeth,has_nickname,betty
elizabeth,has_nickname,eliza
elizabeth,has_nickname,lib
elizabeth,has_nickname,libby
elizabeth,has_nickname,lisa
elizabeth,has_nickname,liz
elizabeth,has_nickname,liza
elizabeth,has_nickname,lizzie
elizabeth,has_nickname,lizzy
ella,has_nickname,el
ella,has_nickname,ellen
ellen,has_nickname,helen
ellen,has_nickname,nell
ellen,has_nickname,nellie
ellender,has_nickname,ellen
ellender,has_nickname,helen
ellender,has_nickname,nellie
ellie,has_nickname,elly
ellswood,has_nickname,elsey
elminie,has_nickname,minnie
elmira,has_nickname,ellie
elmira,has_nickname,elly
elmira,has_nickname,mira
elnora,has_nickname,nora
eloise,has_nickname,heloise
eloise,has_nickname,louise
elouise,has_nickname,louise
elsie,has_nickname,elsey
elswood,has_nickname,elsey
elvira,has_nickname,elvie
elwood,has_nickname,woody
elysia,has_nickname,lisa
elysia,has_nickname,lissa
elze,has_nickname,elsey
emanuel,has_nickname,manny
emanuel,has_nickname,manuel
emeline,has_nickname,em
emeline,has_nickname,emily
emeline,has_nickname,emma
emeline,has_nickname,emmy
emeline,has_nickname,milly
emil,has_nickname,em
emil,has_nickname,emily
emily,has_nickname,em
emily,has_nickname,emma
emily,has_nickname,emmy
emily,has_nickname,mel
emily,has_nickname,millie
emma,has_nickname,em
emma,has_nickname,emmy
epaphroditius,has_nickname,dite
epaphroditius,has_nickname,ditus
epaphroditius,has_nickname,dyce
epaphroditius,has_nickname,dyche
epaphroditius,has_nickname,eppa
ephraim,has_nickname,eph
erasmus,has_nickname,rasmus
erasmus,has_nickname,raze
eric,has_nickname,rick
eric,has_nickname,ricky
ernest,has_nickname,ernie
ernestine,has_nickname,erna
ernestine,has_nickname,ernest
ernestine,has_nickname,teeny
ernestine,has_nickname,tina
erwin,has_nickname,irwin
eseneth,has_nickname,senie
essy,has_nickname,es
estella,has_nickname,essy
estella,has_nickname,stella
estelle,has_nickname,essy
estelle,has_nickname,stella
esther,has_nickname,essie
esther,has_nickname,hester
eudicy,has_nickname,dicey
eudora,has_nickname,dora
eudoris,has_nickname,dosie
eudoris,has_nickname,dossie
eugene,has_nickname,gene
eunice,has_nickname,nicie
euphemia,has_nickname,effie
euphemia,has_nickname,effy
eurydice,has_nickname,dicey
eustacia,has_nickname,stacia
eustacia,has_nickname,stacy
eva,has_nickname,eve
evaline,has_nickname,eva
evaline,has_nickname,eve
evaline,has_nickname,lena
evangeline,has_nickname,ev
evangeline,has_nickname,evan
evangeline,has_nickname,vangie
evelyn,has_nickname,ev
evelyn,has_nickname,eve
evelyn,has_nickname,evelina
experience,has_nickname,exie
ezekiel,has_nickname,ez
ezekiel,has_nickname,zeke
ezideen,has_nickname,ez
ezra,has_nickname,ez
faith,has_nickname,fay
fallon,has_nickname,fal
fallon,has_nickname,falcon
fallon,has_nickname,fall
fallon,has_nickname,fallie
fallon,has_nickname,fally
fallon,has_nickname,falon
fallon,has_nickname,lon
fallon,has_nickname,lonnie
felicia,has_nickname,fel
felicia,has_nickname,feli
felicia,has_nickname,felix
felicity,has_nickname,flick
felicity,has_nickname,tick
feltie,has_nickname,felty
ferdinand,has_nickname,ferdie
ferdinand,has_nickname,fred
ferdinand,has_nickname,freddie
ferdinand,has_nickname,freddy
ferdinando,has_nickname,ferdie
ferdinando,has_nickname,fred
ferdinando,has_nickname,nando
fidelia,has_nickname,delia
fionna,has_nickname,fiona
flora,has_nickname,florence
florence,has_nickname,flo
florence,has_nickname,flora
florence,has_nickname,flossy
floyd,has_nickname,lloyd
fran,has_nickname,frannie
frances,has_nickname,cissy
frances,has_nickname,fanny
frances,has_nickname,fran
frances,has_nickname,francie
frances,has_nickname,frankie
frances,has_nickname,frannie
frances,has_nickname,franniey
frances,has_nickname,franny
frances,has_nickname,sis
francie,has_nickname,francine
francine,has_nickname,fran
francine,has_nickname,francie
francine,has_nickname,frannie
francine,has_nickname,franniey
francine,has_nickname,franny
francis,has_nickname,fran
francis,has_nickname,frank
francis,has_nickname,frankie
frankie,has_nickname,francis
frankie,has_nickname,frank
franklin,has_nickname,fran
franklin,has_nickname,frank
franklind,has_nickname,fran
franklind,has_nickname,frank
freda,has_nickname,frieda
frederica,has_nickname,erica
frederica,has_nickname,erika
frederica,has_nickname,freddy
frederica,has_nickname,frederick
frederica,has_nickname,rickey
frederick,has_nickname,derick
frederick,has_nickname,erick
frederick,has_nickname,fred
frederick,has_nickname,freddie
frederick,has_nickname,freddy
frederick,has_nickname,fritz
frederick,has_nickname,rick
frederick,has_nickname,ricky
fredericka,has_nickname,ericka
fredericka,has_nickname,freda
fredericka,has_nickname,freddy
fredericka,has_nickname,frieda
fredericka,has_nickname,ricka
fredericka,has_nickname,rickey
frieda,has_nickname,fred
frieda,has_nickname,freddie
frieda,has_nickname,freddy
gabriel,has_nickname,gabby
gabriel,has_nickname,gabe
gabriella,has_nickname,ella
gabriella,has_nickname,gabby
gabrielle,has_nickname,ella
gabrielle,has_nickname,gabby
gareth,has_nickname,gare
gareth,has_nickname,gary
garrett,has_nickname,barrett
garrett,has_nickname,gare
garrett,has_nickname,garratt
garrett,has_nickname,garret
garrett,has_nickname,garry
garrett,has_nickname,gary
